Symbol	IntOGen_Cancer_Type	IntOGen_Role	CGC_Tumour_Types	CGC_Cancer_Role	Com299_Pancaner_Frequency	Com435_Putative_DriveCategory	B125_Classification	B125_Core_pathway	B125_Process	SMG127_Pancan12_Freq
GOPC	-	-	"glioblastoma,cholangiocarcinoma,borderline_ovarian"	fusion	-	-	-	-	-	-
GPC3	-	-	-	"oncogene,TSG"	-	-	-	-	-	-
GPC5	-	-	lung_adenocarcinoma	TSG	-	-	-	-	-	-
GPHN	-	-	AL	fusion	-	High_Confidence_Driver	-	-	-	-
GRM3	-	-	"melanoma,oral_SCC"	oncogene	-	-	-	-	-	-
HEY1	-	-	mesenchymal_chondrosarcoma	"oncogene,fusion"	-	-	-	-	-	-
HIP1	"MBL,UCS"	Act	"CMML,NSCLC"	"oncogene,fusion"	-	-	-	-	-	-
IL7R	"ALL,ESCA,HC"	Act	"ALL,ETP_ALL"	oncogene	1.91%	-	-	-	-	-
IRF4	"CLL,DLBCL,MM,NHLY"	ambiguous	MM	"oncogene,TSG,fusion"	-	-	-	-	-	-
IRS4	"BLCA,PAAD"	LoF	"glioma,rhabdomyosarcoma,melanoma,breast_cancer,T-ALL"	"oncogene,TSG"	-	-	-	-	-	-
KAT7	-	-	CCRCC	oncogene	-	-	-	-	-	-
KDSR	-	-	B-NHL	fusion	-	-	-	-	-	-
KLF6	-	-	"prostate,glioma"	TSG	-	-	-	-	-	-
KLK2	-	-	prostate	fusion	-	-	-	-	-	-
KNL1	-	-	AML	"TSG,fusion"	-	-	-	-	-	-
KTN1	-	-	papillary_thyroid	fusion	-	-	-	-	-	-
LCP1	-	-	NHL	fusion	-	High_Confidence_Driver	-	-	-	-
LEF1	-	-	"B-ALL,T-ALL,eyelid_sebaceous_carcinoma,AML,lymphomas"	"oncogene,TSG"	-	-	-	-	-	-
LIFR	SCLC	Act	salivary_adenoma	fusion	-	High_Confidence_Driver	-	-	-	1.20%
LMNA	-	-	Spitzoid_tumour	fusion	-	-	-	-	-	-
LMO1	-	-	"T-ALL,neuroblastoma"	"oncogene,fusion"	-	-	-	-	-	-
LMO2	-	-	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
LYL1	-	-	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
MAFB	-	-	MM	"oncogene,fusion"	-	-	-	-	-	-
MDM2	LEIS	Act	"sarcoma,glioma,colorectal,other_tumour_types"	oncogene	-	-	-	-	-	-
MDM4	BRCA	Act	"glioblastoma,bladder,retinoblastoma"	oncogene	-	-	-	-	-	-
MDS2	-	-	MDS	fusion	-	-	-	-	-	-
MEN1	"ACC,BRCA,HC,LNET,PAIS"	LoF	"parathyroid_tumours,pancreatic_neuroendocrine_tumour"	TSG	0.82%	-	-	-	-	-
MGMT	-	-	glioma	TSG	0.29%	-	-	-	-	-
MITF	-	-	melanoma	oncogene	-	-	-	-	-	-
MLF1	-	-	AML	"TSG,fusion"	-	-	-	-	-	-
MLH1	-	-	"colorectal,endometrial,ovarian,CNS_tumours"	TSG	0.97%	-	-	-	-	-
MNX1	-	-	AML	fusion	-	-	-	-	-	-
MSH2	-	-	"colorectal,endometrial,ovarian"	TSG	0.83%	-	-	-	-	-
MSH6	-	-	colorectal	TSG	1.06%	-	-	-	-	-
MSI2	NB	ambiguous	CML	"oncogene,fusion"	-	-	-	-	-	-
MTOR	"AML,ANGS,BRCA,COREAD,HC,LGG,OS,PAIS,RCCC,RCH,UCEC"	Act	"endometrial_carcinoma,head_and_neck,clear_cell_renal_cell_carcinoma,anaplastic_thyroid_cancer,urothelial_cell_carcinoma,central_nervous_system_tumours,testicular_germ_cell_tumours_and_other_tumour_types"	oncogene	2.70%	High_Confidence_Driver	-	-	-	3.00%
MUC1	-	-	B-NHL	fusion	-	-	-	-	-	-
MUC4	-	-	HNSCC	oncogene	-	-	-	-	-	-
MYCL	-	-	small_cell_lung_carcinoma	oncogene	-	-	-	-	-	-
MYCN	"GBM,MBL,NB,PIA,SBCC,UCEC"	Act	"neuroblastoma,Wilms_tumour"	oncogene	0.84%	-	-	-	-	-
MYH9	"BRCA,COREAD,ESCA,HNSC,OV,SBCC,ST"	Act	ALCL	"TSG,fusion"	2.78%	High_Confidence_Driver	-	-	-	-
NAB2	-	-	"solitary_fibrous_tumour,meningeal_haemangiopericytoma"	"TSG,fusion"	-	-	-	-	-	-
NACA	-	-	NHL	fusion	-	-	-	-	-	-
NBEA	"BC,CM,COREAD,DLBCL,ESCA,HC,PAAD"	ambiguous	"large_intestine_carcinoma,multiple_myeloma"	-	-	Candidate_driver	-	-	-	-
NFIB	-	-	"adenoid_cystic_carcinoma,lipoma"	fusion	-	-	-	-	-	-
NONO	"BRCA,CM"	LoF	papillary_renal	fusion	-	High_Confidence_Driver	-	-	-	-
NPM1	AML	ambiguous	"NHL,APL,AML"	"oncogene,fusion"	0.51%	High_Confidence_Driver	-	-	-	1.80%
NRG1	ST	Act	NSCLC	"TSG,fusion"	-	-	-	-	-	-
NSD1	"CESC,ESCA,HNSC,LUSC,ST,UCEC,UCS"	Act	AML	fusion	3.17%	High_Confidence_Driver	-	-	-	2.40%
NSD2	ALL	-	MM	"oncogene,fusion"	-	-	-	-	-	-
NSD3	-	-	AML	"oncogene,fusion"	-	-	-	-	-	-
PAX3	-	-	alveolar_rhabdomyosarcoma	"oncogene,fusion"	-	-	-	-	-	-
PAX5	-	-	"NHL,ALL,B-ALL"	"oncogene,TSG,fusion"	0.82%	-	-	-	-	-
PAX7	-	-	alveolar_rhabdomyosarcoma	fusion	-	-	-	-	-	-
PAX8	-	-	follicular_thyroid	fusion	-	-	-	-	-	-
PBX1	-	-	"pre_B-ALL,myoepithelioma"	"oncogene,fusion"	-	-	-	-	-	-
PCM1	-	-	"papillary_thyroid,CML,MPN"	fusion	-	High_Confidence_Driver	-	-	-	-
PER1	-	-	"AML,CMML"	"TSG,fusion"	-	-	-	-	-	-
PHF6	"ALL,AML"	LoF	ETP_ALL	TSG	0.75%	High_Confidence_Driver	-	-	-	0.80%
PIM1	"DLBCL,LY,MM,NHLY"	LoF	NHL	"oncogene,fusion"	0.56%	-	-	-	-	-
PMS1	-	-	-	-	0.96%	-	-	-	-	-
PMS2	PRAD	LoF	-	TSG	1.05%	-	-	-	-	-
POLE	"CESC,SBCC,UCEC"	ambiguous	"colorectal_carcinoma,endometrioid_carcinoma,stomach_carcinoma,skin_cancer"	TSG	2.37%	Candidate_driver	-	-	-	-
POLG	-	-	CRC	TSG	-	-	-	-	-	-
POLQ	"CESC,CM,LUSC,SSCC,UCEC"	ambiguous	oral_SCC	"oncogene,TSG"	3.03%	-	-	-	-	2.40%
POT1	"CLL,CM,HC,LGG,UCEC"	ambiguous	CLL	TSG	-	-	-	-	-	-
PRCC	-	-	papillary_renal	fusion	-	-	-	-	-	-
PRF1	"NSCLC,ST"	LoF	-	TSG	-	-	-	-	-	-
PTEN	"BLCA,BRCA,CESC,CH,CM,COREAD,ESCA,GBM,HC,HGG,HNSC,LGG,LUSC,MBL,NSCLC,OS,OV,PAIS,PIA,PRAD,RCCC,RCH,RPC,S,ST,THCA,UCEC,UCS"	LoF	"glioma,prostate,endometrial"	TSG	7.47%	High_Confidence_Driver	-	-	-	9.70%
PTK6	-	-	"renal,gastric,head_and_neck,ovarian,others"	"oncogene,TSG"	-	-	-	-	-	-
RAC1	"CM,HNSC"	Act	"melanoma,carcinoma"	oncogene	0.74%	High_Confidence_Driver	-	-	-	-
RAF1	"BLCA,CM"	Act	"pilocytic_astrocytoma,prostate"	"oncogene,fusion"	0.68%	-	-	-	-	-
RARA	BC	Act	APL	"oncogene,fusion"	0.69%	-	-	-	-	-
RGS7	"BRCA,LUAD"	LoF	melanoma	-	-	-	-	-	-	-
RHOA	"BLCA,BLY,DLBCL,HNSC,LY,NHLY,PRAD,ST"	Act	"diffuse_gastric,T_cell_lymphomas,paediatric_Burkitt_lymphoma"	"oncogene,TSG"	1.01%	High_Confidence_Driver	-	-	-	-
RHOH	-	-	NHL	"TSG,fusion"	-	-	-	-	-	-
RMI2	-	-	"PMBL,Hodgkin_lymphoma"	"TSG,fusion"	-	-	-	-	-	-
ROS1	-	-	"glioblastoma,NSCLC,Spitzoid_tumour,cholangiocarcinoma,borderline_ovarian"	"oncogene,fusion"	-	-	-	-	-	-
RPL5	-	-	T-ALL	TSG	0.67%	High_Confidence_Driver	-	-	-	0.70%
RPN1	-	-	AML	fusion	-	-	-	-	-	-
SBDS	-	-	-	TSG	-	-	-	-	-	-
SDC4	ST	LoF	NSCLC	fusion	-	-	-	-	-	-
SDHA	-	-	"GIST,paraganglioma"	TSG	-	-	-	-	-	-
SDHB	-	-	-	TSG	-	-	-	-	-	-
SDHC	-	-	-	TSG	-	-	-	-	-	-
SDHD	-	-	-	TSG	-	-	-	-	-	-
SFPQ	-	-	papillary_renal	"TSG,fusion"	-	-	-	-	-	-
SGK1	"DLBCL,LY,NHLY"	ambiguous	Nodular_lymphocyte_predominant_Hodgkin_lymphoma	oncogene	-	High_Confidence_Driver	-	-	-	-
SIX1	WT	LoF	Wilms_tumour	oncogene	-	-	-	-	-	-
SIX2	-	-	Wilms_tumour	oncogene	-	-	-	-	-	-
SND1	-	-	pancreas_acinar_carcinoma	"oncogene,fusion"	-	-	-	-	-	-
SOX2	-	-	"NSCLC,oesophageal_squamous_carcinoma"	oncogene	-	-	-	-	-	-
SPEN	"BRCA,CESC,CLL,DLBCL,NSPH,PAAD,PRAD,RCCC,SG"	ambiguous	"SMZL,adenoid_cystic_carcinoma,DLBCL"	TSG	-	High_Confidence_Driver	-	-	-	-
SS18	-	-	synovial_sarcoma	fusion	-	-	-	-	-	-
SSX1	-	-	synovial_sarcoma	"oncogene,fusion"	-	-	-	-	-	-
SSX2	-	-	synovial_sarcoma	"oncogene,fusion"	-	-	-	-	-	-
SSX4	-	-	synovial_sarcoma	"oncogene,fusion"	-	-	-	-	-	-
STIL	CESC	ambiguous	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
STRN	PRAD	ambiguous	"anaplastic_thyroid,papillary_thyroid,lung"	fusion	-	-	-	-	-	-
SUB1	-	-	lung_cancer	-	-	-	-	-	-	-
SUFU	-	-	medulloblastoma	TSG	-	-	-	-	-	-
TAL1	-	-	lymphoblastic_leukaemia/biphasic	"oncogene,fusion"	-	-	-	-	-	-
TAL2	-	-	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
TBX3	"BRCA,COREAD,DLBCL,ESCA"	LoF	"breast,large_intestine,skin"	"oncogene,TSG"	1.38%	High_Confidence_Driver	-	-	-	1.40%
TCF3	-	-	pre_B-ALL	"oncogene,TSG,fusion"	-	-	-	-	-	-
TERT	-	-	"melanoma,glioblastoma,hepatocellular_carcinoma,bladder,skin_basal_cell,skin_squamous_cell,mesothelioma,medulloblastoma,other_tumour_types"	"oncogene,TSG"	-	-	-	-	-	-
TET1	"GBM,HC,RPC,SBCC,ST"	ambiguous	AML	"oncogene,TSG,fusion"	-	-	-	-	-	-
TET2	"AML,LY,MDPS,NHLY,OS,S"	LoF	MDS	TSG	1.93%	High_Confidence_Driver	-	-	-	1.60%
TFE3	-	-	"papillary_renal,alveolar_soft_part_sarcoma,renal"	"oncogene,fusion"	-	-	-	-	-	-
TFEB	-	-	renal_cell_carcinoma_(childhood_epithelioid)	"oncogene,fusion"	-	-	-	-	-	-
TFPT	-	-	pre-B_ALL	fusion	-	-	-	-	-	-
TFRC	-	-	NHL	fusion	-	-	-	-	-	-
TLX1	-	-	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
TLX3	-	-	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
TOP1	SBCC	LoF	AML*	fusion	-	-	-	-	-	-
TP53	"ACC,ALL,AML,AN,ANGS,BC,BLCA,BLY,BRCA,CESC,CH,CLL,CM,COREAD,DLBCL,ESCA,EWS,GBM,HC,HGG,HNSC,LEIS,LGG,LUAD,LUSC,LY,MBL,MESO,MM,NHLY,NSCLC,NSPH,OS,OV,PAAD,PAIS,PIA,PRAD,RCCC,RCH,RPC,S,SBCC,SCLC,SSCC,ST,THCA,THYM,UCEC,UCS,VV,WT"	LoF	"breast,colorectal,lung,sarcoma,adrenocortical,glioma,Spitzoid_tumour,multiple_other_tumour_types"	"oncogene,TSG,fusion"	37.53%	High_Confidence_Driver	-	-	-	42.00%
TP63	"BLCA,HNSC,NB,UCEC"	ambiguous	"HNSCC,DLBCL"	"oncogene,TSG"	-	-	-	-	-	-
TPM3	-	-	"papillary_thyroid,ALCL,NSCLC,Spitzoid_tumour"	"TSG,fusion"	-	-	-	-	-	-
TPM4	-	-	ALCL	fusion	-	-	-	-	-	-
TSC1	"BLCA,HC"	LoF	"renal_cell_carcinoma,bladder_carcinoma"	TSG	1.52%	-	-	-	-	-
TSC2	"ACY,BLCA,HC,PAIS,RCH,SSCC"	LoF	"pulmonary_lymphangioleiomyomatosis_(LAM),renal_angiomyolipoma,HNSCC"	TSG	2.11%	High_Confidence_Driver	-	-	-	-
UBR5	"CM,DLBCL,MM,RCH"	ambiguous	"mantle_cell_lymphoma,gastric,colorectal"	oncogene	-	-	-	-	-	-
USP6	"AML,BRCA,COREAD,LUSC,PRAD,THCA"	Act	aneurysmal_bone_cyst	"oncogene,fusion"	-	-	-	-	-	-
USP8	"HC,LUSC,MM"	ambiguous	corticotroph_adenoma	oncogene	-	-	-	-	-	-
VAV1	PAAD	Act	T-cell_lymphoma	fusion	-	-	-	-	-	-
WDCP	-	-	colorectal	fusion	-	-	-	-	-	-
WIF1	-	-	pleomorphic_salivary_gland_adenoma	"TSG,fusion"	-	-	-	-	-	-
WNK2	"COREAD,HC,THCA"	ambiguous	gastric_cancer	TSG	-	-	-	-	-	-
XPO1	"CLL,DLBCL,NHLY,PRAD"	Act	CLL	oncogene	1.00%	-	-	-	-	-
ZEB1	"MM,NSPH"	LoF	"CCRCC,melanoma"	oncogene	-	-	-	-	-	-
ACKR3	OV	Act	lipoma	"oncogene,fusion"	-	-	-	-	-	-
ACSL3	AML	Act	prostate	fusion	-	-	-	-	-	-
ACSL6	-	-	"AML,AEL"	fusion	-	-	-	-	-	-
ACVR1	"HGG,UCEC"	ambiguous	DIPG	oncogene	0.75%	-	-	-	-	-
AKAP9	-	-	papillary_thyroid	fusion	-	High_Confidence_Driver	-	-	-	-
ALDH2	-	-	leiomyoma	fusion	-	-	-	-	-	-
AMER1	"COREAD,WT"	LoF	Wilms_tumour	TSG	2.74%	-	-	-	-	-
ARID2	"BLCA,CH,CM,ESCA,HC,HNSC,LGG,LUAD,MBL,NSCLC,PAAD,PIA,SSCC,ST,THCA"	LoF	hepatocellular_carcinoma	TSG	3.16%	High_Confidence_Driver	-	-	-	-
ASXL1	"ALL,AML,BRCA,CLL,ESCA,HGG,HNSC,MBL,PIA,PRAD,RCCC"	LoF	"MDS,CMML"	TSG	2.10%	High_Confidence_Driver	-	-	-	1.30%
ASXL2	"AML,BLCA"	LoF	"melanoma,CCRCC,AML"	TSG	1.85%	-	-	-	-	-
AXIN1	"ESCA,GBM,HC"	LoF	"colorectal,endometrial,prostate,hepatocellular_carcinoma,hepatoblastoma,sporadic_medulloblastoma"	TSG	1.41%	-	-	-	-	-
AXIN2	HC	LoF	"colorectal_carcinoma,stomach_carcinoma,hepatocellular_carcinoma"	TSG	1.27%	High_Confidence_Driver	-	-	-	0.90%
BARD1	-	-	breast_cancer	TSG	-	High_Confidence_Driver	-	-	-	-
BAZ1A	-	-	"uterine_carcinosarcoma,colon_cancer"	TSG	-	-	-	-	-	-
BCL10	DLBCL	ambiguous	MALT	"TSG,fusion"	-	-	-	-	-	-
BCL7A	"DLBCL,MM"	Act	BNHL	fusion	-	-	-	-	-	-
BCL9L	COREAD	Act	"colorectal_cancer,endometrial_carcinoma,gastric_cancer"	"oncogene,TSG"	-	Candidate_driver	-	-	-	-
BIRC3	CLL	Act	"CLL,MALT,MCL,MM"	"oncogene,TSG,fusion"	-	-	-	-	-	-
BIRC6	"BLCA,CH,COREAD,DLBCL,ESCA,HC,HNSC,MGCT,NHLY,PAAD,PCPG,UCEC"	ambiguous	"melanoma,gastric_adenocarcinoma,lung_adenocarcinoma"	"oncogene,fusion"	-	-	-	-	-	-
BRCA1	"BRCA,OV"	LoF	ovarian	TSG	2.05%	High_Confidence_Driver	-	-	-	1.90%
BRCA2	"BLCA,BRCA,CM,COREAD,HNSC,MBL,OV,PAAD,PRAD,VV"	LoF	"breast,ovarian,pancreatic"	TSG	3.27%	High_Confidence_Driver	-	-	-	2.70%
BRIP1	-	-	-	TSG	-	-	-	-	-	-
BUB1B	-	-	-	TSG	-	High_Confidence_Driver	-	-	-	-
CANT1	-	-	prostate	fusion	-	-	-	-	-	-
CASP3	-	-	ovarian_cancer	TSG	-	-	-	-	-	-
CASP8	"BLCA,BRCA,CESC,HNSC,SBCC,ST,VV"	LoF	"hepatocellular,oral_squamous_cell,breast"	TSG	1.75%	High_Confidence_Driver	-	-	-	-
CASP9	-	-	glioma	TSG	-	-	-	-	-	-
CCDC6	COREAD	LoF	"papillary_thyroid,CML,NSCLC"	"TSG,fusion"	-	-	-	-	-	-
CCND1	"MM,UCEC"	Act	"CLL,B-ALL,breast"	"oncogene,fusion"	0.77%	High_Confidence_Driver	-	-	-	0.60%
CCND2	"AML,CLL"	Act	"NHL,CLL"	"oncogene,fusion"	-	-	-	-	-	-
CCND3	"BLY,DLBCL,LY,NHLY"	Act	MM	"oncogene,fusion"	-	-	-	-	-	-
CCNE1	-	-	serous_ovarian	oncogene	-	-	-	-	-	-
CD209	-	-	prostate_carcinoma	-	-	-	-	-	-	-
CD274	-	-	"PMBL,Hodgkin_lymphoma"	"TSG,fusion"	-	-	-	-	-	-
CD79A	-	-	"DLBCL,WM"	oncogene	-	-	-	-	-	-
CD79B	"DLBCL,NHLY"	Act	"DLBCL,WM"	oncogene	0.39%	-	-	-	-	-
CDC73	LUAD	LoF	parathyroid_adenoma	TSG	-	High_Confidence_Driver	-	-	-	-
CDH10	"LUAD,LUSC,PAAD"	Act	melanoma	TSG	-	-	-	-	-	-
CDH11	"CH,CM,ESCA,HC,LUSC,ST"	ambiguous	aneurysmal_bone_cyst	"TSG,fusion"	-	-	-	-	-	-
CDH17	-	-	melanoma	oncogene	-	-	-	-	-	-
CDK12	"CESC,CM,OV,PRAD,ST"	LoF	serous_ovarian	TSG	2.05%	High_Confidence_Driver	-	-	-	1.50%
CEBPA	AML	ambiguous	"AML,MDS"	TSG	0.19%	High_Confidence_Driver	-	-	-	0.50%
CEP89	-	-	Spitzoid_tumour	fusion	-	-	-	-	-	-
CHEK2	THCA	LoF	-	TSG	0.87%	High_Confidence_Driver	-	-	-	0.90%
CHIC2	-	-	AML	fusion	-	-	-	-	-	-
CIITA	"DLBCL,HNSC"	Act	"PMBL,Hodgkin_lymphoma"	"TSG,fusion"	-	-	-	-	-	-
CLIP1	"BC,CESC,LUAD,ST"	LoF	Spitzoid_tumour	fusion	-	High_Confidence_Driver	-	-	-	-
CNBD1	-	-	"gastric_cancer,colon_cancer"	-	1.41%	-	-	-	-	-
CNOT3	"CLL,PRAD"	Act	T-ALL	TSG	-	Candidate_driver	-	-	-	-
CNTRL	-	-	"MPN,NHL"	fusion	-	-	-	-	-	-
COX6C	-	-	uterine_leiomyoma	fusion	-	-	-	-	-	-
CPEB3	SBCC	Act	lung_cancer	TSG	-	-	-	-	-	-
CREB1	-	-	"clear_cell_sarcoma,angiomatoid_fibrous_histiocytoma"	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
CRTC1	ACY	ambiguous	salivary_gland_mucoepidermoid	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
CRTC3	-	-	salivary_gland_mucoepidermoid	fusion	-	High_Confidence_Driver	-	-	-	-
CSF3R	AML	Act	"aCML,CNL,_leukaemia_lymphoma_and_MDS_associated_with_severe_congenital_neutropenia,CMML,de_novo_AML,MDS"	oncogene	-	-	-	-	-	-
CSMD3	-	-	"ovarian_cancer,oral_SCC,lung_cancer"	TSG	-	-	-	-	-	-
CXCR4	DLBCL	Act	WM	oncogene	-	-	-	-	-	-
DCTN1	-	-	"inflammatory_myofibroblastic_tumour,Spitzoid_tumour"	fusion	-	-	-	-	-	-
DDIT3	-	-	liposarcoma	"oncogene,fusion"	-	-	-	-	-	-
DDX10	-	-	AML*	"TSG,fusion"	-	-	-	-	-	-
DDX3X	"BLY,BRCA,CLL,CM,DLBCL,HNSC,LY,MBL,MESO,NHLY,PIA"	LoF	"CLL,medulloblastoma"	TSG	1.44%	Candidate_driver	-	-	-	-
DGCR8	"DLBCL,THCA,WT"	LoF	Wilms_tumour	oncogene	-	-	-	-	-	-
ECT2L	-	-	ETP_ALL	-	-	-	-	-	-	-
EIF3E	"CESC,COREAD"	Act	colorectal	"TSG,fusion"	-	-	-	-	-	-
EP300	"BLCA,CESC,COREAD,DLBCL,ESCA,HC,HNSC,LUSC,MBL,NHLY,NSPH,SCLC"	LoF	"colorectal,breast,pancreatic,AML,ALL,DLBCL"	"TSG,fusion"	3.30%	High_Confidence_Driver	-	-	-	2.50%
EPAS1	"BRCA,PCPG,SSCC"	Act	"paraganglioma,pheochromocytoma,central_nervous_system_hemangioblastomas"	"oncogene,TSG"	1.33%	-	-	-	-	-
EPHA3	"BRCA,CM,COREAD,ESCA,PRAD"	ambiguous	"lung_cancer,CRC,melanoma"	-	3.61%	Candidate_driver	-	-	-	2.10%
EPHA7	"LUAD,OV,THCA"	ambiguous	"CRC,melanoma"	-	-	-	-	-	-	-
EPS15	PRAD	Act	ALL	"TSG,fusion"	-	-	-	-	-	-
ERBB3	"BLCA,BRCA,CESC,CH,COREAD,NB,PRAD,ST,UCEC,UCS"	Act	"colon,gastric,head_and_neck,bladder,skin"	oncogene	2.57%	-	-	-	-	-
ERBB4	"BLCA,BRCA,ESCA"	LoF	"melanoma,gastric,NSCLC"	"oncogene,TSG"	3.86%	Candidate_driver	-	-	-	2.10%
ERCC2	BLCA	LoF	-	TSG	1.13%	High_Confidence_Driver	-	-	-	0.70%
ERCC3	CM	LoF	-	TSG	-	-	-	-	-	-
ERCC4	-	-	-	TSG	-	-	-	-	-	-
ERCC5	-	-	-	TSG	-	-	-	-	-	-
ETNK1	-	-	"aCML,CMML,SM-AHD,HES"	TSG	-	-	-	-	-	-
EWSR1	EWS	Act	"Ewing_sarcoma,desmoplastic_small_round_cell_tumour_,ALL,clear_cell_sarcoma,sarcoma,myoepithelioma,mesothelioma"	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
FANCA	VV	LoF	-	TSG	-	High_Confidence_Driver	-	-	-	-
FANCC	GBM	LoF	-	TSG	-	-	-	-	-	-
FANCE	-	-	-	TSG	-	-	-	-	-	-
FANCF	BLCA	LoF	-	TSG	-	-	-	-	-	-
FANCG	-	-	-	TSG	-	-	-	-	-	-
FBLN2	-	-	"breast_cancer,colorectal_adenocarcinoma"	TSG	-	-	-	-	-	-
FBXW7	"BLCA,BRCA,CESC,CH,CLL,COREAD,ESCA,HNSC,LUSC,MBL,NSPH,PAAD,PIA,ST,UCEC,UCS"	LoF	"colorectal,endometrial,T-ALL"	TSG	3.77%	High_Confidence_Driver	-	-	-	3.00%
FCRL4	-	-	B-NHL	"oncogene,fusion"	-	-	-	-	-	-
FGFR1	"BLCA,MBL,OV,PCPG,PIA,PRAD"	Act	"MPN,NHL,salivary_adenoma"	"oncogene,fusion"	1.15%	-	-	-	-	-
FGFR4	GBM	Act	rhabdomyosarcoma	oncogene	-	-	-	-	-	-
FKBP9	-	-	glioma	-	-	-	-	-	-	-
FNBP1	-	-	AML	fusion	-	-	-	-	-	-
FOXA1	"BRCA,PRAD"	LoF	"breast,prostate"	oncogene	1.34%	High_Confidence_Driver	-	-	-	0.80%
FOXO1	"BLY,NHLY"	Act	alveolar_rhabdomyosarcoma	"oncogene,TSG,fusion"	-	-	-	-	-	-
FOXO3	MBL	ambiguous	AL	"oncogene,TSG,fusion"	-	-	-	-	-	-
FOXO4	-	-	"AL,soft_tissue_sarcoma"	"oncogene,TSG,fusion"	-	-	-	-	-	-
FOXP1	"AN,PRAD"	Act	ALL	"oncogene,fusion"	-	-	-	-	-	-
FOXR1	-	-	neuroblastoma	"oncogene,fusion"	-	-	-	-	-	-
FSTL3	-	-	B-CLL	"oncogene,fusion"	-	-	-	-	-	-
FUBP1	"CLL,LGG"	LoF	oligodendroglioma	oncogene	1.33%	-	-	-	-	-
GATA1	BRCA	Act	megakaryoblastic_leukaemia_of_Downs_syndrome	"oncogene,TSG"	-	-	-	-	-	-
GATA3	"ALL,BRCA"	LoF	breast	"oncogene,TSG"	2.40%	High_Confidence_Driver	-	-	-	3.20%
H3F3B	-	-	chondroblastoma	oncogene	-	-	-	-	-	-
HIF1A	-	-	"endometrioid_carcinoma,glioblastoma,colorectal,renal,lung,pancreatic"	oncogene	-	-	-	-	-	-
HLA-A	"AML,BLCA,CESC,CM,DLBCL,HNSC,LUSC,NSPH,PIA"	ambiguous	Spitzoid_tumour	fusion	0.70%	High_Confidence_Driver	-	-	-	-
HMGA1	-	-	"microfollicular_thyroid_adenoma,various_benign_mesenchymal_tumours"	"oncogene,fusion"	-	-	-	-	-	-
HMGA2	-	-	"lipoma,leiomyoma,pleomorphic_salivary_gland_adenoma"	"oncogene,fusion"	-	-	-	-	-	-
HNF1A	HC	LoF	"hepatic_adenoma,hepatocellular"	TSG	-	-	-	-	-	-
HOOK3	-	-	papillary_thyroid	fusion	-	-	-	-	-	-
HOXA9	-	-	AML*	"oncogene,TSG,fusion"	-	-	-	-	-	-
IKBKB	MM	ambiguous	SMZL	oncogene	-	-	-	-	-	-
IKZF1	"ALL,AML,AN,CM"	ambiguous	"ALL,DLBCL"	"TSG,fusion"	-	-	-	-	-	-
IKZF3	CLL	ambiguous	"B-ALL,CLL,breast_cancer,colorectal_cancer"	"oncogene,TSG,fusion"	-	-	-	-	-	-
IL21R	-	-	NHL	fusion	-	-	-	-	-	-
IL6ST	HC	Act	hepatocellular_carcinoma	oncogene	0.98%	-	-	-	-	-
ITGAV	-	-	large_intestine_carcinoma	-	-	-	-	-	-	-
JAZF1	-	-	endometrial_stromal_tumour	fusion	-	-	-	-	-	-
KAT6A	"ESCA,PRAD,RPC"	ambiguous	AML	"oncogene,fusion"	-	-	-	-	-	-
KAT6B	"BRCA,MBL,PRAD"	Act	"AML,leiomyoma"	"TSG,fusion"	-	-	-	-	-	-
KCNJ5	-	-	adrenal_adenoma	oncogene	-	-	-	-	-	-
KDM5A	CM	Act	AML	"oncogene,fusion"	-	-	-	-	-	-
KDM5C	"HNSC,MM,RCCC"	LoF	clear_cell_renal_carcinoma	TSG	1.54%	High_Confidence_Driver	-	-	-	2.00%
KDM6A	"ALL,BLCA,BRCA,CH,ESCA,HNSC,LUSC,MBL,PAAD,PIA,PRAD,RPC,SCLC,SSCC,ST"	LoF	"renal_cell_carcinoma,bladder_carcinoma,oesophageal_SCC,MM,medulloblastoma,T-ALL,other_tumour_types"	"oncogene,TSG"	2.94%	High_Confidence_Driver	-	-	-	2.00%
KEAP1	"CH,HC,LUAD,LUSC,NSCLC,RCCC"	Act	"NSCLC,breast_carcinoma"	TSG	2.43%	High_Confidence_Driver	-	-	-	2.60%
KIF5B	HNSC	Act	"NSCLC,Spitzoid_tumour"	fusion	-	-	-	-	-	-
KMT2A	"ACC,BCNET,BLCA,CM,ESCA,HC,OV,PRAD,SBCC,THCA"	LoF	"AML,ALL"	"oncogene,fusion"	3.66%	-	-	-	-	-
